Timestamp,Question,Answer,Status
2025-05-23T16:53:41.908554,What are traditional foods of the Malay community?,"Makanan tradisional masyarakat Melayu adalah Makanan-makanan terkenal yang dikemasukkan di 
dunia masyarakat, terma-terma dari makanan yang 
diiktiraf oleh masyarakat Melayu. Makanan-makanan ini 
dapat berisi makanan ringan seperti Keropok Lekor, Satar, Otak-Otak, 
dan Kuih Siput, atau makanan lengkap seperti Nasi Lemak, 
dihidangkan dengan sambal ikan bilis, telur, kacang, timun, dan pelbagai lauk.",unchecked
2025-05-23T16:54:27.559474,Apakah pakaian tradisional lelaki Melayu?,"Baju Kurung, Baju Kebaya, dan Baju Riau.",unchecked
2025-05-23T16:54:48.816387,What is traditional Malay men's attire?,"Pakaian lelaki Melayu tradisional termasuk Baju Kebaya, Baju Kurung, dan Baju Riau.",unchecked
2025-05-23T16:54:51.826956,Apakah permainan tradisional kaum Melayu?,"Permainan yang dimainkan oleh kaum Melayu ialah: Sepak Takraw, Galah Panjang, Konda-Kondi, Main Tarik Upih, Main Guli, Lempar Selipar, Batu Seremban, Main Ceper, Main Serunai, Congkak, Dam Aji, Teng-Teng, Wau, Gasing, Wau Bulan",unchecked
2025-05-23T16:55:34.923838,What are traditional games of the Malay community?,Permainan tradisional masyarakat Melayu.,unchecked
2025-05-23T16:55:37.193582,Apakah alat muzik tradisional kaum Cina?,"Alat muzik yang dimainkan oleh kaum Cina ialah: Erhu, Liuqin, Pipa",unchecked
2025-05-23T16:56:39.553223,What are traditional musical instruments of the Chinese community?,"Alat muzik tradisional masyarakat Cina adalah Erhu, Liuqin, dan Pipa.",unchecked
2025-05-23T16:56:41.947859,Apakah perayaan utama kaum Cina?,"Perayaan yang disambut oleh kaum Cina ialah: Tahun Baru Cina, Chap Goh Mei, Perayaan Kuih Bulan dan Pesta Tanglung, Perayaan Duan Wu, Titik Balik Matahari Musim Dingin",unchecked
2025-05-23T16:58:05.044984,What are the major Chinese festivals?,"Festival-festival Cina utama adalah Tahun Baru Cina, Chap Goh Mei, Perayaan Kuih Bulan, 
Pesta Tanglung, Perayaan Duan Wu, dan Titik Balik Matahari Musim Dingin.",unchecked
2025-05-23T16:58:07.149388,Apakah tarian tradisional kaum India?,"Tarian yang dipersembahkan oleh kaum India ialah: Tarian Serimpi, Bharata Natyam, Tarian Kolattam, Kathakali",unchecked
2025-05-23T16:58:52.097837,What are traditional dances of the Indian community?,"Tarian tradisional masyarakat India termasuk Bharata Natyam, Kathakali dan Tarian Kolattam.",unchecked
2025-05-23T16:58:54.079280,Apakah bahasa utama kaum India di Malaysia?,"Bahasa yang dituturkan oleh kaum India ialah: Telugu, Tamil, Hindi, Malayalam",unchecked
2025-05-23T16:59:34.847373,What are the main languages of the Indian community in Malaysia?,"Bahasa utama masyarakat India di Malaysia adalah Tamil, Telugu, Hindi dan Malayalam.",unchecked
2025-05-23T17:01:03.057732,Apakah tarian utama semasa Pesta Kaamatan?,Tarian utama semasa Pesta Kaamatan adalah tarian bulan.,unchecked
2025-05-23T17:01:17.941952,What is the main dance during the Kaamatan Festival?,Tarian utama semasa Festival Kaamatan adalah Tarian Kipas dan Tarian Singa.,unchecked
2025-05-23T17:02:43.145806,Apakah makanan tradisional kaum Kadazandusun?,"Menikmatian tradisional kaum Kadazandusun berdasarkan kumpulkan dengan makanan dan tarian tradisional di kalangan kaum Kadazandusun. Dengan menikmatian tradisional kaum Kadazandusun, mereka bisa mengetahui kultur dan alamat mereka.",unchecked
2025-05-23T17:03:39.011140,What are traditional foods of the Kadazandusun people?,"Makanan tradisional orang Kadazandusun termasuk Hinava, Noonsom, 
Pinaasakan, Bosou, Sup Manuk Lihing, dan Linopot.",unchecked
2025-05-23T17:03:41.191499,Apakah pakaian tradisional wanita kaum Iban?,"Pakaian yang dipakai oleh kaum Iban ialah: Bidang, Kalambi, Bedong, Kain Sirat, Dandong, Ngepan",unchecked
2025-05-23T17:04:24.813357,What is the traditional attire for Iban women?,Ngepan Iban adalah pakaian tradisional untuk wanita Iban.,unchecked
2025-05-23T17:04:26.979338,Apakah alat muzik tradisional kaum Bajau?,Alat muzik yang dimainkan oleh kaum Bajau ialah: Kulintangan,unchecked
2025-05-23T17:05:22.190251,What are traditional musical instruments of the Bajau community?,"Alat muzik tradisional masyarakat Bajau termasuk Kulintangan, Gong, Canang, Gendang, dan Gabbang, yang digunakan dalam majlis seperti perkahwinan dan kenduri.",unchecked
2025-05-23T17:05:24.165919,Apakah permainan tradisional kaum Murut?,Permainan yang dimainkan oleh kaum Murut ialah: Lansaran,unchecked
2025-05-23T17:06:18.943911,What is a traditional game of the Murut people?,"Yes, Lansaran adalah permainan tradisional orang Murut.",unchecked
2025-05-23T17:06:21.899018,Apakah makanan tradisional kaum Melanau?,"Makanan yang dinikmati oleh kaum Melanau ialah: Umai, Sagu, Linut, Siet (Ulat Mulong), Tebaloi",unchecked
2025-05-23T17:07:09.221283,What are traditional foods of the Melanau community?,"Makanan tradisional komuniti Melanau termasuk Sagu, Linut, Umai, Siet (ulat mulong), dan Tebaloi.",unchecked
2025-05-23T17:07:13.520401,Apakah makanan tradisional kaum Melayu?,"Makanan yang dinikmati oleh kaum Melayu ialah: Nasi Lemak, Nasi Kerabu, Nasi Dagang, Nasi Ulam, Nasi Tumpang, Asam Pedas, Rendang, Laksa, Roti Jala, Lontong, Pecal, Buras, Ketupat, Lemang, Dodol, Kuih Bahulu, Wajik, Kuih Koci, Putu Piring, Kuih Karas, Kuih Batang Buruk, Keropok Lekor, Satar, Otak-otak, Sate, Kuih Siput, Kuih Kapit, Tapai, Acar Buah, Ikan Pekasam, Lempeng, Pulut Panggang, Belacan, Budu, Tempoyak, Gula Melaka",unchecked
2025-05-23T17:08:05.306362,What are traditional foods of the Malay community?,Makanan tradisional masyarakat Melayu adalah Nasi Lemak dan Keropok Lekor.,unchecked
2025-05-23T17:08:45.729235,Apakah pakaian tradisional lelaki Melayu?,"Baju 
Riau.",unchecked
2025-05-23T17:09:02.867215,What is traditional Malay men's attire?,"Pakaian lelaki Melayu tradisional termasuk Baju Kurung dan Baju 
Riau.",unchecked
2025-05-23T17:09:06.641652,Apakah permainan tradisional kaum Melayu?,"Permainan yang dimainkan oleh kaum Melayu ialah: Sepak Takraw, Galah Panjang, Konda-Kondi, Main Tarik Upih, Main Guli, Lempar Selipar, Batu Seremban, Main Ceper, Main Serunai, Congkak, Dam Aji, Teng-Teng, Wau, Gasing, Wau Bulan",unchecked
2025-05-23T17:09:59.008147,What are traditional games of the Malay community?,"Permainan tradisional masyarakat Melayu adalah berbagai macam, termasuk Sepak Takraw, Galah Panjang, dan Konda-Konda, Congkak, Gasing, dan Wau Bulan.",unchecked
2025-05-23T17:10:01.919961,Apakah alat muzik tradisional kaum Cina?,"Alat muzik yang dimainkan oleh kaum Cina ialah: Erhu, Liuqin, Pipa",unchecked
2025-05-23T17:10:55.641476,What are traditional musical instruments of the Chinese community?,"Alat muzik tradisional masyarakat Cina termasuk Erhu, Liuqin, dan Pipa.",unchecked
2025-05-23T17:10:58.904755,Apakah perayaan utama kaum Cina?,"Perayaan yang disambut oleh kaum Cina ialah: Tahun Baru Cina, Chap Goh Mei, Perayaan Kuih Bulan dan Pesta Tanglung, Perayaan Duan Wu, Titik Balik Matahari Musim Dingin",unchecked
2025-05-23T17:12:25.929950,What are the major Chinese festivals?,"Festival utama termasuk Tahun Baru Cina, Chap Goh Mei, Perayaan Kuih Bulan, 
Pesta Tanglung, Perayaan Duan Wu, dan Titik Balik Matahari Musim Dingin, yang 
diraikan dengan adat tradisional dan penyesuaian tempatan.",unchecked
2025-05-23T17:12:29.563937,Apakah tarian tradisional kaum India?,"Tarian yang dipersembahkan oleh kaum India ialah: Tarian Serimpi, Bharata Natyam, Tarian Kolattam, Kathakali",unchecked
2025-05-23T17:13:12.280184,What are traditional dances of the Indian community?,"Tarian tradisional masyarakat India termasuk Bharata Natyam, Kathakali dan Tarian Kolattam.",unchecked
2025-05-23T17:13:15.298376,Apakah bahasa utama kaum India di Malaysia?,"Bahasa yang dituturkan oleh kaum India ialah: Telugu, Tamil, Hindi, Malayalam",unchecked
2025-05-23T17:13:53.808522,What are the main languages of the Indian community in Malaysia?,"Bahasa utama masyarakat India di Malaysia adalah Tamil, Telugu, Hindi dan Malayalam.",unchecked
2025-05-23T17:15:14.384040,Apakah tarian utama semasa Pesta Kaamatan?,Tarian utama semasa Pesta Kaamatan adalah tarian kipas.,unchecked
2025-05-23T17:15:26.593914,What is the main dance during the Kaamatan Festival?,Tarian utama semasa Festival Kaamatan adalah tarian kipas.,unchecked
2025-05-23T17:16:19.016507,Apakah makanan tradisional kaum Kadazandusun?,"Ya, menikmatian tradisional kaum Kadazandusun adalah perlu dan menjadi bagian dari kultur mereka.",unchecked
2025-05-23T17:17:16.840433,What are traditional foods of the Kadazandusun people?,"Makanan tradisional orang Kadazandusun termasuk Hinava, Noonsom, Pinaasakan, 
Bosou, Sup Manuk Lihing, dan Linopot.",unchecked
2025-05-23T17:17:20.001287,Apakah pakaian tradisional wanita kaum Iban?,"Pakaian yang dipakai oleh kaum Iban ialah: Bidang, Kalambi, Bedong, Kain Sirat, Dandong, Ngepan",unchecked
2025-05-23T17:18:00.528795,What is the traditional attire for Iban women?,Pakaian tradisional untuk wanita Iban adalah Ngepan.,unchecked
2025-05-23T17:18:03.428771,Apakah alat muzik tradisional kaum Bajau?,Alat muzik yang dimainkan oleh kaum Bajau ialah: Kulintangan,unchecked
2025-05-23T17:18:50.679434,What are traditional musical instruments of the Bajau community?,"Alat muzik tradisional masyarakat Bajau adalah Kulintangan, Gong, Canang, Gendang, dan Gabbang.",unchecked
2025-05-23T17:18:53.366757,Apakah permainan tradisional kaum Murut?,Permainan yang dimainkan oleh kaum Murut ialah: Lansaran,unchecked
2025-05-23T17:20:19.879613,What is a traditional game of the Murut people?,"Lansaran adalah permainan tradisional kaum Murut di Sabah, yang melibatkan pemujaan roh 
kepala musuh perang, dikelilingkingkan dengan melambung di atas lantai terapung untuk 
mendapatkan hadiah, dipersembahkan dalam acara budaya seperti Pesta Kalimaran dan 
Pesta Kaamatan, dan pemain lelaki memakai pakaian tradisional kulit kayu.",unchecked
2025-05-23T17:20:22.901390,Apakah makanan tradisional kaum Melanau?,"Makanan yang dinikmati oleh kaum Melanau ialah: Umai, Sagu, Linut, Siet (Ulat Mulong), Tebaloi",unchecked
2025-05-23T17:21:08.225349,What are traditional foods of the Melanau community?,"Makanan tradisional komuniti Melanau adalah Sagu, Linut, Umai, Siet (ulat mulong), 
dan Tebaloi.",unchecked
2025-05-23T17:21:12.403692,Apakah makanan tradisional kaum Melayu?,"Makanan yang dinikmati oleh kaum Melayu ialah: Nasi Lemak, Nasi Kerabu, Nasi Dagang, Nasi Ulam, Nasi Tumpang, Asam Pedas, Rendang, Laksa, Roti Jala, Lontong, Pecal, Buras, Ketupat, Lemang, Dodol, Kuih Bahulu, Wajik, Kuih Koci, Putu Piring, Kuih Karas, Kuih Batang Buruk, Keropok Lekor, Satar, Otak-otak, Sate, Kuih Siput, Kuih Kapit, Tapai, Acar Buah, Ikan Pekasam, Lempeng, Pulut Panggang, Belacan, Budu, Tempoyak, Gula Melaka",unchecked
2025-05-23T17:22:04.156576,What are traditional foods of the Malay community?,Makanan tradisional masyarakat Melayu adalah Nasi Lemak dan Keropok Lekor.,unchecked
2025-05-23T17:22:53.657638,Apakah pakaian tradisional lelaki Melayu?,"Pakaian tradisional lelaki Melayu termasuk Baju Kurung, Baju Kebaya, dan Baju Riau.",unchecked
2025-05-23T17:23:06.943512,What is traditional Malay men's attire?,"Baju Kurung, Baju Kebaya, dan Baju Riau.",unchecked
2025-05-23T17:23:10.299106,Apakah permainan tradisional kaum Melayu?,"Permainan yang dimainkan oleh kaum Melayu ialah: Sepak Takraw, Galah Panjang, Konda-Kondi, Main Tarik Upih, Main Guli, Lempar Selipar, Batu Seremban, Main Ceper, Main Serunai, Congkak, Dam Aji, Teng-Teng, Wau, Gasing, Wau Bulan",unchecked
2025-05-23T17:24:34.539204,What are traditional games of the Malay community?,"Permainan tradisional masyarakat Melayu adalah berbagai macam permainan yang dapat dikembangkan oleh orang-orang dalam perumahan masyarakat, termasuk Sepak Takraw, Galah Panjang dan Konda-Kondi, Congkak, Gasing dan Wau Bulan. Permainan ini membantu masyarakat untuk mempercepat proses perumahan dan membuat mereka menjadi lebih sama, serta memperluas kreativitas dan kemahiran mereka.",unchecked
2025-05-23T17:24:37.479028,Apakah alat muzik tradisional kaum Cina?,"Alat muzik yang dimainkan oleh kaum Cina ialah: Erhu, Liuqin, Pipa",unchecked
2025-05-23T17:25:31.832799,What are traditional musical instruments of the Chinese community?,"Alat muzik tradisional masyarakat Cina termasuk Erhu, Liuqin, dan Pipa.",unchecked
2025-05-23T17:25:35.269765,Apakah perayaan utama kaum Cina?,"Perayaan yang disambut oleh kaum Cina ialah: Tahun Baru Cina, Chap Goh Mei, Perayaan Kuih Bulan dan Pesta Tanglung, Perayaan Duan Wu, Titik Balik Matahari Musim Dingin",unchecked
2025-05-23T17:27:36.744093,What are the major Chinese festivals?,"Perayaan Tahun Baru Cina dan Chap Goh Mei di Malaysia terpusat di wilayah 
Kota Tamanan Cina di Kota Kuala Lumpur dan Kota Tamanan Cina di Kota Johor Bahru, 
sedangkan Perayaan Kuih Bulan dan Pesta Tanglung terpusat di Kota Tanjung Balai Karim di Johor 
Barat. Tian Balik Matahari Musim Dingin terpusat di Kota Kuala Lumpur dan Kota Johor 
Bahasa termasuk Mandarin, Hokkien, Hakka, Kantonis, Teochew, Hainan, dan Fuzhou.",unchecked
2025-05-23T17:27:39.817227,Apakah tarian tradisional kaum India?,"Tarian yang dipersembahkan oleh kaum India ialah: Tarian Serimpi, Bharata Natyam, Tarian Kolattam, Kathakali",unchecked
2025-05-23T17:28:22.096656,What are traditional dances of the Indian community?,"Tarian tradisional masyarakat India termasuk Bharata Natyam, Kathakali dan Tarian Kolattam.",unchecked
2025-05-23T17:28:25.045078,Apakah bahasa utama kaum India di Malaysia?,"Bahasa yang dituturkan oleh kaum India ialah: Telugu, Tamil, Hindi, Malayalam",unchecked
2025-05-23T17:29:03.336827,What are the main languages of the Indian community in Malaysia?,"Bahasa utama masyarakat India di Malaysia adalah Tamil, Telugu, Hindi dan Malayalam.",unchecked
2025-05-23T17:30:47.478121,Apakah tarian utama semasa Pesta Kaamatan?,"Tarian utama semasa Pesta Kaamatan adalah tarian Magunatip, seperti disebut pada konteks. Tarian ini melibatkan sepasang penari dan bunyi bambu dari alat muzik tradisional, ditari pada majlis Hari Magavau untuk memuja semangat padi.",unchecked
2025-05-23T17:30:59.210918,What is the main dance during the Kaamatan Festival?,Tarian utama semasa Festival Kaamatan adalah tarian payung.,unchecked
2025-05-23T17:32:00.100544,Apakah makanan tradisional kaum Kadazandusun?,"Menikmatian tradisional kaum Kadazandusun, seperti Sumazau, Sumirid, Hinava, 
Noonsom, Pinaasakan, Bosou, Sup Manuk Lihing, dan Linopot.",unchecked
2025-05-23T17:32:58.357438,What are traditional foods of the Kadazandusun people?,"Makanan tradisional orang Kadazandusun termasuk Hinava, Noonsom, 
Pinaasakan, Bosou, Sup Manuk Lihing, dan Linopot.",unchecked
2025-05-23T17:33:01.581801,Apakah pakaian tradisional wanita kaum Iban?,"Pakaian yang dipakai oleh kaum Iban ialah: Bidang, Kalambi, Bedong, Kain Sirat, Dandong, Ngepan",unchecked
2025-05-23T17:33:56.259621,What is the traditional attire for Iban women?,"Pakaian tradisional untuk wanita Iban adalah Ngepan Iban, digunakan semasa Hari Gawai dan pertandingan Kumang, lengkap dengan bidang, bedong, dan hiasan manik.",unchecked
2025-05-23T17:33:59.062975,Apakah alat muzik tradisional kaum Bajau?,Alat muzik yang dimainkan oleh kaum Bajau ialah: Kulintangan,unchecked
2025-05-23T17:34:55.704274,What are traditional musical instruments of the Bajau community?,"Alat muzik tradisional masyarakat Bajau termasuk Kulintangan, Gong, Canang, Gendang, dan Gabbang, yang digunakan dalam majlis seperti perkahwinan dan kenduri.",unchecked
